Log start on, 2023-11-02 16:35:23
Feature, Acceleration
NodeName, HostTimestamp (ms), notificationTime, timeStamp, RawData, X (mg), Y (mg), Z (mg)
AM1V430 @A856F0, 10869, Thu Nov 02 16:35:34 GMT+01:00 2023, 11336, [72 44 -93 1 91 0 -29 -4 -78 -2 15 1 26 -3 -60 0 -87 0 -103 0], 419.0, 91.0, -797.0
AM1V430 @A856F0, 10905, Thu Nov 02 16:35:34 GMT+01:00 2023, 11342, [78 44 -29 1 -66 0 -85 -4 -102 -1 -103 0 -113 -3 -66 0 -85 0 -100 0], 483.0, 190.0, -853.0
AM1V430 @A856F0, 10956, Thu Nov 02 16:35:34 GMT+01:00 2023, 11348, [84 44 -4 1 10 1 125 -4 -51 -3 126 0 -83 -3 -67 0 -63 0 -111 0], 508.0, 266.0, -899.0
AM1V430 @A856F0, 11008, Thu Nov 02 16:35:34 GMT+01:00 2023, 11355, [91 44 -97 1 12 1 100 -4 87 -4 32 0 66 -2 -64 0 -34 0 -114 0], 415.0, 268.0, -924.0
AM1V430 @A856F0, 11063, Thu Nov 02 16:35:34 GMT+01:00 2023, 11361, [97 44 -57 1 101 1 -4 -5 -84 -9 -36 -3 59 -3 -63 0 47 1 -121 0], 455.0, 357.0, -1028.0
AM1V430 @A856F0, 11113, Thu Nov 02 16:35:34 GMT+01:00 2023, 11367, [103 44 93 1 27 2 113 -3 11 -12 127 -7 92 -3 6 1 -88 1 79 0], 349.0, 539.0, -655.0
AM1V430 @A856F0, 11167, Thu Nov 02 16:35:34 GMT+01:00 2023, 11373, [109 44 -123 0 17 3 41 -2 -119 -12 -86 -4 59 -1 77 1 14 2 -16 -1], 133.0, 785.0, -471.0
AM1V430 @A856F0, 11218, Thu Nov 02 16:35:34 GMT+01:00 2023, 11380, [116 44 -15 -1 -67 3 -92 -2 -107 -12 -39 -5 33 1 116 1 82 2 124 -1], -15.0, 957.0, -348.0
AM1V430 @A856F0, 11255, Thu Nov 02 16:35:34 GMT+01:00 2023, 11386, [122 44 106 0 -77 3 -49 -1 7 -11 -58 -5 51 4 105 1 -101 2 -38 -2], 106.0, 947.0, -49.0
AM1V430 @A856F0, 11308, Thu Nov 02 16:35:34 GMT+01:00 2023, 11392, [-128 44 0 1 -75 3 32 1 115 -10 -115 -3 -89 6 23 1 -78 2 98 -2], 256.0, 949.0, 288.0
