Log start on, 2023-11-22 10:53:15
Feature, Acceleration
NodeName, HostTimestamp (ms), notificationTime, timeStamp, RawData, X (mg), Y (mg), Z (mg)
AM1V430 @A856F0, 15186, Wed Nov 22 10:53:30 GMT+01:00 2023, 4283, [-69 16 -4 -1 22 0 52 -4 -13 -1 11 0 9 0 -3 -1 -14 -2 -27 0], -4.0, 22.0, -972.0
AM1V430 @A856F0, 15270, Wed Nov 22 10:53:30 GMT+01:00 2023, 4289, [-63 16 -4 -1 22 0 52 -4 -13 -1 11 0 10 0 -4 -1 -15 -2 -25 0], -4.0, 22.0, -972.0
AM1V430 @A856F0, 15285, Wed Nov 22 10:53:30 GMT+01:00 2023, 4295, [-57 16 -3 -1 22 0 52 -4 -13 -1 11 0 9 0 -4 -1 -20 -2 -22 0], -3.0, 22.0, -972.0
AM1V430 @A856F0, 15330, Wed Nov 22 10:53:30 GMT+01:00 2023, 4302, [-50 16 -5 -1 22 0 52 -4 -13 -1 11 0 9 0 -6 -1 -12 -2 -24 0], -5.0, 22.0, -972.0
AM1V430 @A856F0, 15392, Wed Nov 22 10:53:30 GMT+01:00 2023, 4308, [-44 16 -4 -1 21 0 53 -4 -13 -1 11 0 9 0 1 0 -17 -2 -30 0], -4.0, 21.0, -971.0
AM1V430 @A856F0, 15440, Wed Nov 22 10:53:30 GMT+01:00 2023, 4314, [-38 16 -4 -1 21 0 52 -4 -13 -1 11 0 9 0 -6 -1 -23 -2 -28 0], -4.0, 21.0, -972.0
AM1V430 @A856F0, 15492, Wed Nov 22 10:53:30 GMT+01:00 2023, 4320, [-32 16 -4 -1 21 0 52 -4 -13 -1 11 0 9 0 -4 -1 -8 -2 -33 0], -4.0, 21.0, -972.0
AM1V430 @A856F0, 15541, Wed Nov 22 10:53:30 GMT+01:00 2023, 4327, [-25 16 -3 -1 21 0 52 -4 -12 -1 11 0 9 0 -3 -1 -14 -2 -28 0], -3.0, 21.0, -972.0
AM1V430 @A856F0, 15595, Wed Nov 22 10:53:30 GMT+01:00 2023, 4333, [-19 16 -3 -1 22 0 51 -4 -13 -1 11 0 10 0 -3 -1 -17 -2 -28 0], -3.0, 22.0, -973.0
AM1V430 @A856F0, 15639, Wed Nov 22 10:53:30 GMT+01:00 2023, 4339, [-13 16 -4 -1 22 0 53 -4 -13 -1 11 0 9 0 -7 -1 -21 -2 -24 0], -4.0, 22.0, -971.0
AM1V430 @A856F0, 15695, Wed Nov 22 10:53:31 GMT+01:00 2023, 4345, [-7 16 -3 -1 21 0 52 -4 -14 -1 11 0 9 0 -3 -1 -11 -2 -22 0], -3.0, 21.0, -972.0
AM1V430 @A856F0, 15737, Wed Nov 22 10:53:31 GMT+01:00 2023, 4352, [0 17 -3 -1 22 0 52 -4 -13 -1 10 0 9 0 0 0 -12 -2 -19 0], -3.0, 22.0, -972.0
